"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Apr 24 23:20:59 GMT 2023","Mon Apr 24 23:21:09 GMT 2023","10345","vizsgaremek_test","test_vizsgaremek","TestConduit","","","test_pageNumber",""
"broken","Mon Apr 24 23:20:35 GMT 2023","Mon Apr 24 23:20:45 GMT 2023","10375","vizsgaremek_test","test_vizsgaremek","TestConduit","","","test_logOut",""
"passed","Mon Apr 24 23:20:20 GMT 2023","Mon Apr 24 23:20:26 GMT 2023","5136","vizsgaremek_test","test_vizsgaremek","TestConduit","","","test_regEmpty",""
"broken","Mon Apr 24 23:22:04 GMT 2023","Mon Apr 24 23:22:15 GMT 2023","10334","vizsgaremek_test","test_vizsgaremek","TestConduit","","","test_tag2Csv",""
"broken","Mon Apr 24 23:21:58 GMT 2023","Mon Apr 24 23:22:03 GMT 2023","5267","vizsgaremek_test","test_vizsgaremek","TestConduit","","","test_importCsv",""
"broken","Mon Apr 24 23:21:10 GMT 2023","Mon Apr 24 23:21:21 GMT 2023","10359","vizsgaremek_test","test_vizsgaremek","TestConduit","","","test_tags",""
"broken","Mon Apr 24 23:21:33 GMT 2023","Mon Apr 24 23:21:39 GMT 2023","5256","vizsgaremek_test","test_vizsgaremek","TestConduit","","","test_articleDelete",""
"broken","Mon Apr 24 23:21:22 GMT 2023","Mon Apr 24 23:21:32 GMT 2023","10363","vizsgaremek_test","test_vizsgaremek","TestConduit","","","test_articleCreate",""
"passed","Mon Apr 24 23:20:10 GMT 2023","Mon Apr 24 23:20:15 GMT 2023","5339","vizsgaremek_test","test_vizsgaremek","TestConduit","","","test_cookies",""
"passed","Mon Apr 24 23:20:27 GMT 2023","Mon Apr 24 23:20:32 GMT 2023","5411","vizsgaremek_test","test_vizsgaremek","TestConduit","","","test_regBadEmail",""
"broken","Mon Apr 24 23:21:46 GMT 2023","Mon Apr 24 23:21:57 GMT 2023","10359","vizsgaremek_test","test_vizsgaremek","TestConduit","","","test_commentDelete",""
"broken","Mon Apr 24 23:21:40 GMT 2023","Mon Apr 24 23:21:45 GMT 2023","5267","vizsgaremek_test","test_vizsgaremek","TestConduit","","","test_commentCreate",""
"broken","Mon Apr 24 23:22:16 GMT 2023","Mon Apr 24 23:22:22 GMT 2023","6301","vizsgaremek_test","test_vizsgaremek","TestConduit","","","test_nameModifie",""
"passed","Mon Apr 24 23:20:33 GMT 2023","Mon Apr 24 23:20:33 GMT 2023","301","vizsgaremek_test","test_vizsgaremek","TestConduit","","","test_loginRight",""
"passed","Mon Apr 24 23:20:52 GMT 2023","Mon Apr 24 23:20:58 GMT 2023","5279","vizsgaremek_test","test_vizsgaremek","TestConduit","","","test_loginBadPass",""
"passed","Mon Apr 24 23:20:17 GMT 2023","Mon Apr 24 23:20:19 GMT 2023","2583","vizsgaremek_test","test_vizsgaremek","TestConduit","","","test_regRight",""
"passed","Mon Apr 24 23:20:46 GMT 2023","Mon Apr 24 23:20:51 GMT 2023","5148","vizsgaremek_test","test_vizsgaremek","TestConduit","","","test_loginEmpty",""
