"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Apr 25 08:18:41 GMT 2023","Tue Apr 25 08:19:22 GMT 2023","40767","vizsgaremek_test","test_vizsgaremek","TestConduit","","","test_articleCreate",""
"passed","Tue Apr 25 08:16:56 GMT 2023","Tue Apr 25 08:17:17 GMT 2023","20302","vizsgaremek_test","test_vizsgaremek","TestConduit","","","test_loginBadPass",""
"broken","Tue Apr 25 08:17:18 GMT 2023","Tue Apr 25 08:17:58 GMT 2023","40636","vizsgaremek_test","test_vizsgaremek","TestConduit","","","test_pageNumber",""
"passed","Tue Apr 25 08:15:04 GMT 2023","Tue Apr 25 08:15:07 GMT 2023","3012","vizsgaremek_test","test_vizsgaremek","TestConduit","","","test_regRight",""
"broken","Tue Apr 25 08:21:52 GMT 2023","Tue Apr 25 08:22:13 GMT 2023","21350","vizsgaremek_test","test_vizsgaremek","TestConduit","","","test_nameModifie",""
"broken","Tue Apr 25 08:21:10 GMT 2023","Tue Apr 25 08:21:51 GMT 2023","40709","vizsgaremek_test","test_vizsgaremek","TestConduit","","","test_tag2Csv",""
"passed","Tue Apr 25 08:16:35 GMT 2023","Tue Apr 25 08:16:55 GMT 2023","20243","vizsgaremek_test","test_vizsgaremek","TestConduit","","","test_loginEmpty",""
"passed","Tue Apr 25 08:15:51 GMT 2023","Tue Apr 25 08:15:52 GMT 2023","367","vizsgaremek_test","test_vizsgaremek","TestConduit","","","test_loginRight",""
"passed","Tue Apr 25 08:14:42 GMT 2023","Tue Apr 25 08:15:03 GMT 2023","20553","vizsgaremek_test","test_vizsgaremek","TestConduit","","","test_cookies",""
"broken","Tue Apr 25 08:20:06 GMT 2023","Tue Apr 25 08:20:47 GMT 2023","40773","vizsgaremek_test","test_vizsgaremek","TestConduit","","","test_commentDelete",""
"passed","Tue Apr 25 08:15:08 GMT 2023","Tue Apr 25 08:15:28 GMT 2023","20175","vizsgaremek_test","test_vizsgaremek","TestConduit","","","test_regEmpty",""
"broken","Tue Apr 25 08:18:00 GMT 2023","Tue Apr 25 08:18:40 GMT 2023","40732","vizsgaremek_test","test_vizsgaremek","TestConduit","","","test_tags",""
"broken","Tue Apr 25 08:20:48 GMT 2023","Tue Apr 25 08:21:09 GMT 2023","20330","vizsgaremek_test","test_vizsgaremek","TestConduit","","","test_importCsv",""
"broken","Tue Apr 25 08:15:53 GMT 2023","Tue Apr 25 08:16:34 GMT 2023","40788","vizsgaremek_test","test_vizsgaremek","TestConduit","","","test_logOut",""
"broken","Tue Apr 25 08:19:45 GMT 2023","Tue Apr 25 08:20:05 GMT 2023","20282","vizsgaremek_test","test_vizsgaremek","TestConduit","","","test_commentCreate",""
"broken","Tue Apr 25 08:19:23 GMT 2023","Tue Apr 25 08:19:44 GMT 2023","20321","vizsgaremek_test","test_vizsgaremek","TestConduit","","","test_articleDelete",""
"passed","Tue Apr 25 08:15:29 GMT 2023","Tue Apr 25 08:15:50 GMT 2023","20559","vizsgaremek_test","test_vizsgaremek","TestConduit","","","test_regBadEmail",""
