"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Apr 24 23:18:44 GMT 2023","Mon Apr 24 23:18:47 GMT 2023","2713","vizsgaremek_test","test_vizsgaremek","TestConduit","","","test_regRight",""
"broken","Mon Apr 24 23:19:03 GMT 2023","Mon Apr 24 23:19:13 GMT 2023","10461","vizsgaremek_test","test_vizsgaremek","TestConduit","","","test_logOut",""
"passed","Mon Apr 24 23:19:15 GMT 2023","Mon Apr 24 23:19:20 GMT 2023","5180","vizsgaremek_test","test_vizsgaremek","TestConduit","","","test_loginEmpty",""
"passed","Mon Apr 24 23:18:48 GMT 2023","Mon Apr 24 23:18:53 GMT 2023","5177","vizsgaremek_test","test_vizsgaremek","TestConduit","","","test_regEmpty",""
"broken","Mon Apr 24 23:19:28 GMT 2023","Mon Apr 24 23:19:38 GMT 2023","10452","vizsgaremek_test","test_vizsgaremek","TestConduit","","","test_pageNumber",""
"passed","Mon Apr 24 23:19:21 GMT 2023","Mon Apr 24 23:19:26 GMT 2023","5383","vizsgaremek_test","test_vizsgaremek","TestConduit","","","test_loginBadPass",""
"broken","Mon Apr 24 23:20:09 GMT 2023","Mon Apr 24 23:20:15 GMT 2023","5372","vizsgaremek_test","test_vizsgaremek","TestConduit","","","test_commentCreate",""
"broken","Mon Apr 24 23:19:51 GMT 2023","Mon Apr 24 23:20:01 GMT 2023","10473","vizsgaremek_test","test_vizsgaremek","TestConduit","","","test_articleCreate",""
"broken","Mon Apr 24 23:19:39 GMT 2023","Mon Apr 24 23:19:50 GMT 2023","10463","vizsgaremek_test","test_vizsgaremek","TestConduit","","","test_tags",""
"broken","Mon Apr 24 23:20:28 GMT 2023","Mon Apr 24 23:20:33 GMT 2023","5354","vizsgaremek_test","test_vizsgaremek","TestConduit","","","test_importCsv",""
"broken","Mon Apr 24 23:20:03 GMT 2023","Mon Apr 24 23:20:08 GMT 2023","5357","vizsgaremek_test","test_vizsgaremek","TestConduit","","","test_articleDelete",""
"broken","Mon Apr 24 23:20:34 GMT 2023","Mon Apr 24 23:20:45 GMT 2023","10450","vizsgaremek_test","test_vizsgaremek","TestConduit","","","test_tag2Csv",""
"broken","Mon Apr 24 23:20:16 GMT 2023","Mon Apr 24 23:20:26 GMT 2023","10450","vizsgaremek_test","test_vizsgaremek","TestConduit","","","test_commentDelete",""
"passed","Mon Apr 24 23:19:01 GMT 2023","Mon Apr 24 23:19:02 GMT 2023","368","vizsgaremek_test","test_vizsgaremek","TestConduit","","","test_loginRight",""
"broken","Mon Apr 24 23:20:46 GMT 2023","Mon Apr 24 23:20:52 GMT 2023","6414","vizsgaremek_test","test_vizsgaremek","TestConduit","","","test_nameModifie",""
"passed","Mon Apr 24 23:18:54 GMT 2023","Mon Apr 24 23:19:00 GMT 2023","5540","vizsgaremek_test","test_vizsgaremek","TestConduit","","","test_regBadEmail",""
"passed","Mon Apr 24 23:18:38 GMT 2023","Mon Apr 24 23:18:43 GMT 2023","5331","vizsgaremek_test","test_vizsgaremek","TestConduit","","","test_cookies",""
