"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Apr 25 10:39:58 GMT 2023","Tue Apr 25 10:40:18 GMT 2023","20285","vizsgaremek_test","test_vizsgaremek","TestConduit","","","test_importCsv",""
"passed","Tue Apr 25 10:33:59 GMT 2023","Tue Apr 25 10:34:19 GMT 2023","20144","vizsgaremek_test","test_vizsgaremek","TestConduit","","","test_regEmpty",""
"broken","Tue Apr 25 10:36:08 GMT 2023","Tue Apr 25 10:36:48 GMT 2023","40599","vizsgaremek_test","test_vizsgaremek","TestConduit","","","test_pageNumber",""
"passed","Tue Apr 25 10:35:46 GMT 2023","Tue Apr 25 10:36:07 GMT 2023","20297","vizsgaremek_test","test_vizsgaremek","TestConduit","","","test_loginBadPass",""
"passed","Tue Apr 25 10:34:42 GMT 2023","Tue Apr 25 10:34:42 GMT 2023","271","vizsgaremek_test","test_vizsgaremek","TestConduit","","","test_loginRight",""
"broken","Tue Apr 25 10:41:01 GMT 2023","Tue Apr 25 10:41:23 GMT 2023","21367","vizsgaremek_test","test_vizsgaremek","TestConduit","","","test_nameModifie",""
"broken","Tue Apr 25 10:37:31 GMT 2023","Tue Apr 25 10:38:32 GMT 2023","60656","vizsgaremek_test","test_vizsgaremek","TestConduit","","","test_articleCreate",""
"passed","Tue Apr 25 10:33:34 GMT 2023","Tue Apr 25 10:33:54 GMT 2023","20250","vizsgaremek_test","test_vizsgaremek","TestConduit","","","test_cookies",""
"passed","Tue Apr 25 10:35:25 GMT 2023","Tue Apr 25 10:35:45 GMT 2023","20173","vizsgaremek_test","test_vizsgaremek","TestConduit","","","test_loginEmpty",""
"broken","Tue Apr 25 10:38:55 GMT 2023","Tue Apr 25 10:39:15 GMT 2023","20256","vizsgaremek_test","test_vizsgaremek","TestConduit","","","test_commentCreate",""
"passed","Tue Apr 25 10:33:55 GMT 2023","Tue Apr 25 10:33:58 GMT 2023","2411","vizsgaremek_test","test_vizsgaremek","TestConduit","","","test_regRight",""
"broken","Tue Apr 25 10:34:43 GMT 2023","Tue Apr 25 10:35:24 GMT 2023","40643","vizsgaremek_test","test_vizsgaremek","TestConduit","","","test_logOut",""
"passed","Tue Apr 25 10:34:20 GMT 2023","Tue Apr 25 10:34:41 GMT 2023","20404","vizsgaremek_test","test_vizsgaremek","TestConduit","","","test_regBadEmail",""
"broken","Tue Apr 25 10:38:33 GMT 2023","Tue Apr 25 10:38:53 GMT 2023","20275","vizsgaremek_test","test_vizsgaremek","TestConduit","","","test_articleDelete",""
"broken","Tue Apr 25 10:36:50 GMT 2023","Tue Apr 25 10:37:30 GMT 2023","40634","vizsgaremek_test","test_vizsgaremek","TestConduit","","","test_tags",""
"broken","Tue Apr 25 10:39:16 GMT 2023","Tue Apr 25 10:39:57 GMT 2023","40734","vizsgaremek_test","test_vizsgaremek","TestConduit","","","test_commentDelete",""
"broken","Tue Apr 25 10:40:20 GMT 2023","Tue Apr 25 10:41:00 GMT 2023","40551","vizsgaremek_test","test_vizsgaremek","TestConduit","","","test_tag2Csv",""
