"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 25 08:00:23 GMT 2023","Tue Apr 25 08:00:27 GMT 2023","3953","vizsgaremek_test","test_vizsgaremek","TestConduit","","","test_regRight",""
"broken","Tue Apr 25 08:02:41 GMT 2023","Tue Apr 25 08:02:51 GMT 2023","10268","vizsgaremek_test","test_vizsgaremek","TestConduit","","","test_articleDelete",""
"passed","Tue Apr 25 08:00:51 GMT 2023","Tue Apr 25 08:00:51 GMT 2023","286","vizsgaremek_test","test_vizsgaremek","TestConduit","","","test_loginRight",""
"broken","Tue Apr 25 08:01:58 GMT 2023","Tue Apr 25 08:02:18 GMT 2023","20464","vizsgaremek_test","test_vizsgaremek","TestConduit","","","test_tags",""
"broken","Tue Apr 25 08:01:36 GMT 2023","Tue Apr 25 08:01:56 GMT 2023","20426","vizsgaremek_test","test_vizsgaremek","TestConduit","","","test_pageNumber",""
"broken","Tue Apr 25 08:00:52 GMT 2023","Tue Apr 25 08:01:12 GMT 2023","20475","vizsgaremek_test","test_vizsgaremek","TestConduit","","","test_logOut",""
"passed","Tue Apr 25 08:01:25 GMT 2023","Tue Apr 25 08:01:35 GMT 2023","10278","vizsgaremek_test","test_vizsgaremek","TestConduit","","","test_loginBadPass",""
"passed","Tue Apr 25 08:01:13 GMT 2023","Tue Apr 25 08:01:24 GMT 2023","10147","vizsgaremek_test","test_vizsgaremek","TestConduit","","","test_loginEmpty",""
"broken","Tue Apr 25 08:03:36 GMT 2023","Tue Apr 25 08:03:57 GMT 2023","20417","vizsgaremek_test","test_vizsgaremek","TestConduit","","","test_tag2Csv",""
"passed","Tue Apr 25 08:00:11 GMT 2023","Tue Apr 25 08:00:22 GMT 2023","10272","vizsgaremek_test","test_vizsgaremek","TestConduit","","","test_cookies",""
"broken","Tue Apr 25 08:02:52 GMT 2023","Tue Apr 25 08:03:02 GMT 2023","10269","vizsgaremek_test","test_vizsgaremek","TestConduit","","","test_commentCreate",""
"broken","Tue Apr 25 08:03:25 GMT 2023","Tue Apr 25 08:03:35 GMT 2023","10271","vizsgaremek_test","test_vizsgaremek","TestConduit","","","test_importCsv",""
"broken","Tue Apr 25 08:02:19 GMT 2023","Tue Apr 25 08:02:40 GMT 2023","20463","vizsgaremek_test","test_vizsgaremek","TestConduit","","","test_articleCreate",""
"passed","Tue Apr 25 08:00:39 GMT 2023","Tue Apr 25 08:00:49 GMT 2023","10399","vizsgaremek_test","test_vizsgaremek","TestConduit","","","test_regBadEmail",""
"broken","Tue Apr 25 08:03:58 GMT 2023","Tue Apr 25 08:04:09 GMT 2023","11343","vizsgaremek_test","test_vizsgaremek","TestConduit","","","test_nameModifie",""
"broken","Tue Apr 25 08:03:04 GMT 2023","Tue Apr 25 08:03:24 GMT 2023","20461","vizsgaremek_test","test_vizsgaremek","TestConduit","","","test_commentDelete",""
"passed","Tue Apr 25 08:00:28 GMT 2023","Tue Apr 25 08:00:38 GMT 2023","10132","vizsgaremek_test","test_vizsgaremek","TestConduit","","","test_regEmpty",""
