"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 25 07:06:49 GMT 2023","Tue Apr 25 07:06:49 GMT 2023","264","vizsgaremek_test","test_vizsgaremek","TestConduit","","","test_loginRight",""
"broken","Tue Apr 25 07:07:37 GMT 2023","Tue Apr 25 07:07:48 GMT 2023","10316","vizsgaremek_test","test_vizsgaremek","TestConduit","","","test_articleCreate",""
"broken","Tue Apr 25 07:08:02 GMT 2023","Tue Apr 25 07:08:12 GMT 2023","10324","vizsgaremek_test","test_vizsgaremek","TestConduit","","","test_commentDelete",""
"passed","Tue Apr 25 07:06:33 GMT 2023","Tue Apr 25 07:06:35 GMT 2023","2402","vizsgaremek_test","test_vizsgaremek","TestConduit","","","test_regRight",""
"passed","Tue Apr 25 07:06:27 GMT 2023","Tue Apr 25 07:06:32 GMT 2023","5267","vizsgaremek_test","test_vizsgaremek","TestConduit","","","test_cookies",""
"broken","Tue Apr 25 07:08:18 GMT 2023","Tue Apr 25 07:08:23 GMT 2023","5232","vizsgaremek_test","test_vizsgaremek","TestConduit","","","test_importCsv",""
"passed","Tue Apr 25 07:06:37 GMT 2023","Tue Apr 25 07:06:42 GMT 2023","5126","vizsgaremek_test","test_vizsgaremek","TestConduit","","","test_regEmpty",""
"broken","Tue Apr 25 07:07:15 GMT 2023","Tue Apr 25 07:07:25 GMT 2023","10302","vizsgaremek_test","test_vizsgaremek","TestConduit","","","test_pageNumber",""
"passed","Tue Apr 25 07:07:08 GMT 2023","Tue Apr 25 07:07:14 GMT 2023","5268","vizsgaremek_test","test_vizsgaremek","TestConduit","","","test_loginBadPass",""
"broken","Tue Apr 25 07:07:55 GMT 2023","Tue Apr 25 07:08:00 GMT 2023","5240","vizsgaremek_test","test_vizsgaremek","TestConduit","","","test_commentCreate",""
"passed","Tue Apr 25 07:06:43 GMT 2023","Tue Apr 25 07:06:48 GMT 2023","5359","vizsgaremek_test","test_vizsgaremek","TestConduit","","","test_regBadEmail",""
"broken","Tue Apr 25 07:07:49 GMT 2023","Tue Apr 25 07:07:54 GMT 2023","5240","vizsgaremek_test","test_vizsgaremek","TestConduit","","","test_articleDelete",""
"broken","Tue Apr 25 07:08:36 GMT 2023","Tue Apr 25 07:08:42 GMT 2023","6321","vizsgaremek_test","test_vizsgaremek","TestConduit","","","test_nameModifie",""
"broken","Tue Apr 25 07:08:24 GMT 2023","Tue Apr 25 07:08:34 GMT 2023","10296","vizsgaremek_test","test_vizsgaremek","TestConduit","","","test_tag2Csv",""
"broken","Tue Apr 25 07:06:51 GMT 2023","Tue Apr 25 07:07:01 GMT 2023","10352","vizsgaremek_test","test_vizsgaremek","TestConduit","","","test_logOut",""
"passed","Tue Apr 25 07:07:02 GMT 2023","Tue Apr 25 07:07:07 GMT 2023","5137","vizsgaremek_test","test_vizsgaremek","TestConduit","","","test_loginEmpty",""
"broken","Tue Apr 25 07:07:26 GMT 2023","Tue Apr 25 07:07:36 GMT 2023","10319","vizsgaremek_test","test_vizsgaremek","TestConduit","","","test_tags",""
