"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Apr 25 12:11:36 GMT 2023","Tue Apr 25 12:12:17 GMT 2023","40656","vizsgaremek_test","test_vizsgaremek","TestConduit","","","test_logOut",""
"passed","Tue Apr 25 12:10:52 GMT 2023","Tue Apr 25 12:11:12 GMT 2023","20128","vizsgaremek_test","test_vizsgaremek","TestConduit","","","test_regEmpty",""
"passed","Tue Apr 25 12:11:13 GMT 2023","Tue Apr 25 12:11:33 GMT 2023","20388","vizsgaremek_test","test_vizsgaremek","TestConduit","","","test_regBadEmail",""
"passed","Tue Apr 25 12:12:39 GMT 2023","Tue Apr 25 12:12:59 GMT 2023","20271","vizsgaremek_test","test_vizsgaremek","TestConduit","","","test_loginBadPass",""
"broken","Tue Apr 25 12:15:26 GMT 2023","Tue Apr 25 12:15:46 GMT 2023","20270","vizsgaremek_test","test_vizsgaremek","TestConduit","","","test_articleDelete",""
"passed","Tue Apr 25 12:10:27 GMT 2023","Tue Apr 25 12:10:47 GMT 2023","20247","vizsgaremek_test","test_vizsgaremek","TestConduit","","","test_cookies",""
"broken","Tue Apr 25 12:13:42 GMT 2023","Tue Apr 25 12:14:23 GMT 2023","40677","vizsgaremek_test","test_vizsgaremek","TestConduit","","","test_tags",""
"broken","Tue Apr 25 12:13:00 GMT 2023","Tue Apr 25 12:13:41 GMT 2023","40592","vizsgaremek_test","test_vizsgaremek","TestConduit","","","test_pageNumber",""
"broken","Tue Apr 25 12:17:12 GMT 2023","Tue Apr 25 12:17:53 GMT 2023","40616","vizsgaremek_test","test_vizsgaremek","TestConduit","","","test_tag2Csv",""
"broken","Tue Apr 25 12:15:47 GMT 2023","Tue Apr 25 12:16:08 GMT 2023","20252","vizsgaremek_test","test_vizsgaremek","TestConduit","","","test_commentCreate",""
"broken","Tue Apr 25 12:17:54 GMT 2023","Tue Apr 25 12:18:15 GMT 2023","21311","vizsgaremek_test","test_vizsgaremek","TestConduit","","","test_nameModifie",""
"broken","Tue Apr 25 12:16:09 GMT 2023","Tue Apr 25 12:16:49 GMT 2023","40686","vizsgaremek_test","test_vizsgaremek","TestConduit","","","test_commentDelete",""
"passed","Tue Apr 25 12:10:48 GMT 2023","Tue Apr 25 12:10:51 GMT 2023","2514","vizsgaremek_test","test_vizsgaremek","TestConduit","","","test_regRight",""
"broken","Tue Apr 25 12:16:51 GMT 2023","Tue Apr 25 12:17:11 GMT 2023","20277","vizsgaremek_test","test_vizsgaremek","TestConduit","","","test_importCsv",""
"broken","Tue Apr 25 12:14:24 GMT 2023","Tue Apr 25 12:15:25 GMT 2023","60681","vizsgaremek_test","test_vizsgaremek","TestConduit","","","test_articleCreate",""
"passed","Tue Apr 25 12:11:35 GMT 2023","Tue Apr 25 12:11:35 GMT 2023","264","vizsgaremek_test","test_vizsgaremek","TestConduit","","","test_loginRight",""
"passed","Tue Apr 25 12:12:18 GMT 2023","Tue Apr 25 12:12:38 GMT 2023","20145","vizsgaremek_test","test_vizsgaremek","TestConduit","","","test_loginEmpty",""
